Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,size
9461,0.92,Premium,E,VS2,61.2,62.0,4600,6.27,6.22,3.82,148.97770799999998
9462,0.9,Very Good,G,VS2,62.5,57.0,4600,6.12,6.14,3.83,143.919144
9463,1.51,Very Good,J,I1,63.3,57.0,4600,7.31,7.23,4.6,243.11597999999998
9464,1.11,Ideal,H,SI2,60.9,56.0,4600,6.71,6.73,4.09,184.697447
9465,1.01,Fair,E,SI2,57.1,59.0,4600,6.65,6.69,3.81,169.50118500000002
9466,0.9,Good,D,VS2,63.5,61.0,4601,6.09,6.16,3.89,145.931016
9467,0.9,Very Good,G,VVS1,62.3,58.0,4601,6.14,6.21,3.85,146.79819
9468,1.04,Premium,I,SI1,60.7,59.0,4601,6.6,6.57,4.0,173.448
9469,1.07,Ideal,J,VS2,61.6,56.3,4602,6.55,6.59,4.04,174.38458
9470,1.07,Good,J,VS2,61.7,57.7,4602,6.55,6.58,4.05,174.55094999999997
9471,1.0,Ideal,I,SI1,61.8,55.0,4602,6.41,6.44,3.97,163.88318800000002
9472,1.06,Ideal,H,SI1,60.8,54.0,4602,6.64,6.61,4.03,176.87831200000002
9473,1.2,Very Good,H,SI1,61.4,63.0,4603,6.76,6.72,4.14,188.06860799999998
9474,1.03,Premium,H,SI1,61.1,59.0,4603,6.56,6.5,3.99,170.1336
9475,1.03,Ideal,H,SI1,62.3,56.0,4603,6.48,6.45,4.03,168.43788000000004
9476,1.03,Premium,H,SI1,60.0,60.0,4603,6.41,6.4,4.02,164.91647999999998
9477,1.02,Very Good,H,SI1,62.6,59.0,4604,6.38,6.43,4.01,164.50383399999998
9478,1.02,Premium,H,SI1,61.9,58.0,4604,6.43,6.47,3.99,165.992379
9479,1.02,Good,H,SI1,63.5,58.0,4604,6.36,6.39,4.05,164.59362
9480,1.05,Ideal,H,SI2,61.8,58.0,4604,6.52,6.55,4.04,172.53223999999997
9481,1.07,Ideal,H,SI2,61.0,55.0,4604,6.62,6.65,4.05,178.29315
9482,1.01,Ideal,E,SI2,59.6,60.0,4604,6.52,6.6,3.91,168.25512
9483,1.02,Ideal,H,VS2,62.3,54.0,4604,6.48,6.39,4.01,166.04287200000002
9484,1.02,Very Good,H,VS2,60.0,63.0,4604,6.54,6.49,3.91,165.95838600000002
9485,1.02,Very Good,H,VS2,63.3,55.0,4604,6.4,6.33,4.03,163.26336
9486,1.01,Premium,G,SI1,62.8,59.0,4605,6.43,6.34,4.01,163.47246199999998
9487,0.91,Very Good,F,VS2,60.8,57.0,4606,6.24,6.25,3.8,148.2
9488,1.01,Very Good,D,SI2,62.7,58.0,4606,6.31,6.39,3.98,160.47718199999997
9489,1.01,Good,D,SI2,64.5,58.0,4606,6.18,6.26,4.01,155.13406799999998
9490,1.11,Good,H,SI1,64.2,58.0,4606,6.53,6.47,4.17,176.178747
9491,1.1,Very Good,E,SI2,60.1,62.0,4607,6.65,6.69,4.01,178.398885
9492,1.05,Very Good,H,SI1,59.5,58.0,4608,6.61,6.69,3.96,175.11476400000004
9493,1.05,Good,H,SI1,63.1,60.0,4608,6.42,6.49,4.07,169.57980600000002
9494,1.05,Premium,H,SI1,61.9,58.0,4608,6.45,6.5,4.01,168.11925000000002
9495,1.05,Ideal,G,SI2,61.8,57.0,4608,6.51,6.57,4.04,172.79362799999998
9496,1.0,Good,F,SI1,58.1,64.0,4608,6.56,6.6,3.82,165.39071999999996
9497,1.01,Good,E,SI1,64.7,57.0,4608,6.22,6.29,4.05,158.45138999999998
9498,1.07,Very Good,E,SI2,60.5,61.0,4609,6.55,6.61,3.98,172.31609
9499,0.91,Ideal,I,VVS1,60.0,57.0,4609,6.29,6.31,3.83,152.01231699999997
9500,1.01,Good,H,SI1,63.7,56.0,4610,6.34,6.33,4.08,163.739376
9501,1.13,Premium,I,VS2,62.0,58.0,4611,6.64,6.69,4.13,183.461208
9502,0.93,Good,E,SI1,63.1,57.0,4611,6.17,6.19,3.9,148.94997
9503,0.91,Good,E,SI1,63.6,57.0,4611,6.13,6.1,3.89,145.45877000000002
9504,1.03,Ideal,H,SI2,61.6,54.0,4611,6.51,6.55,4.02,171.41480999999996
9505,1.09,Ideal,J,SI1,60.7,58.0,4611,6.64,6.68,4.04,179.19500799999997
9506,1.2,Premium,J,VS2,61.8,59.0,4611,6.84,6.76,4.2,194.20128
9507,1.16,Fair,G,SI1,65.9,55.0,4612,6.54,6.51,4.3,183.07422
9508,0.9,Premium,D,SI1,62.2,60.0,4612,6.14,6.08,3.8,141.85855999999998
9509,1.01,Ideal,I,SI1,60.2,59.0,4612,6.49,6.54,3.92,166.382832
9510,0.9,Premium,D,SI1,62.2,58.0,4612,6.18,6.11,3.82,144.242436
9511,0.9,Premium,D,SI1,62.8,59.0,4612,6.18,6.14,3.87,146.847924
9512,1.05,Very Good,I,VS2,63.1,58.0,4612,6.47,6.42,4.07,169.057218
9513,1.22,Good,J,SI1,63.8,57.0,4612,6.77,6.72,4.3,195.62591999999998
9514,0.9,Ideal,D,SI1,62.7,56.0,4612,6.18,6.16,3.87,147.326256
9515,0.9,Premium,D,SI1,62.4,61.0,4612,6.17,6.13,3.84,145.236864
9516,1.11,Premium,F,SI2,58.9,60.0,4612,6.8,6.74,3.99,182.86968000000002
9517,1.22,Ideal,I,SI2,61.8,57.0,4612,6.9,6.83,4.23,199.34721000000002
9518,1.07,Ideal,E,SI2,62.4,57.0,4613,6.52,6.55,4.08,174.24048
9519,1.04,Ideal,E,SI1,62.0,57.0,4613,6.5,6.47,4.02,169.06109999999998
9520,1.14,Very Good,H,SI2,63.3,57.0,4615,6.6,6.63,4.19,183.34602
9521,1.01,Premium,F,SI2,62.9,59.0,4616,6.32,6.27,3.96,156.92054399999998
9522,1.01,Good,H,SI1,59.4,60.0,4616,6.49,6.54,3.87,164.260602
9523,1.01,Premium,F,SI2,61.7,60.0,4616,6.42,6.36,3.94,160.874928
9524,0.9,Very Good,F,VS2,61.6,63.0,4617,6.13,6.17,3.79,143.345759
9525,0.9,Very Good,F,VS2,62.2,57.0,4617,6.17,6.24,3.86,148.61308799999998
9526,0.9,Good,F,VS2,64.3,57.0,4617,6.07,6.09,3.91,144.53823300000002
9527,0.9,Very Good,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79,142.414935
9528,1.02,Very Good,H,SI1,63.0,58.0,4617,6.34,6.4,4.01,162.70976
9529,1.01,Very Good,H,SI1,60.2,60.0,4617,6.5,6.48,3.91,164.68920000000003
9530,1.01,Ideal,J,VS2,61.3,56.0,4617,6.46,6.5,3.97,166.70030000000003
9531,1.01,Ideal,J,VS2,61.1,56.0,4617,6.49,6.51,3.97,167.732103
9532,0.83,Ideal,F,VS1,61.2,54.0,4617,6.07,6.11,3.73,138.33712100000002
9533,1.17,Ideal,J,SI1,62.1,57.0,4617,6.74,6.81,4.21,193.236474
9534,1.05,Premium,G,SI2,63.0,57.0,4618,6.47,6.41,4.06,168.37916199999998
9535,1.01,Very Good,F,SI1,63.0,58.0,4619,6.31,6.39,4.0,161.28359999999998
9536,1.01,Good,F,SI1,62.4,59.0,4619,6.3,6.42,3.97,160.57062
9537,1.01,Very Good,F,SI1,61.9,57.0,4619,6.37,6.42,3.96,161.945784
9538,1.01,Good,E,SI1,63.2,59.0,4619,6.25,6.28,3.96,155.43
9539,1.01,Very Good,H,SI1,58.5,56.0,4619,6.6,6.69,3.89,171.75906
9540,0.8,Ideal,D,VS1,62.4,56.0,4619,5.94,5.98,3.72,132.13886400000004
9541,1.13,Premium,H,SI2,61.1,59.0,4619,6.73,6.65,4.09,183.04590500000003
9542,1.17,Ideal,J,VS2,62.1,56.0,4619,6.8,6.75,4.21,193.239
9543,1.0,Premium,E,SI2,61.1,58.0,4620,6.44,6.48,3.95,164.83824000000004
9544,1.5,Good,I,I1,62.6,63.0,4620,7.19,7.25,4.52,235.6163
9545,1.0,Good,D,SI2,63.3,56.0,4620,6.35,6.38,4.03,163.26739
9546,1.0,Good,E,SI2,63.5,56.0,4620,6.31,6.38,4.03,162.238934
9547,1.0,Very Good,E,SI2,61.4,61.0,4620,6.36,6.41,3.92,159.808992
9548,1.12,Premium,H,SI2,61.9,58.0,4620,6.66,6.74,4.15,186.28686000000005
9549,1.0,Very Good,F,SI1,60.3,61.0,4620,6.38,6.43,3.86,158.35032399999997
9550,1.0,Very Good,E,SI2,62.4,57.0,4620,6.33,6.4,3.97,160.83264
9551,1.0,Premium,E,SI2,61.7,58.0,4620,6.34,6.39,3.93,159.214518
9552,1.0,Premium,E,SI2,61.2,60.0,4620,6.42,6.45,3.94,163.15146
9553,1.26,Ideal,I,SI2,59.6,57.0,4620,7.01,7.04,4.19,206.77817600000003
9554,1.1,Premium,I,SI1,62.0,59.0,4620,6.59,6.54,4.07,175.411302
9555,1.0,Very Good,I,VS2,63.5,56.0,4620,6.33,6.3,4.01,159.91478999999998
9556,1.1,Ideal,H,SI2,62.0,55.0,4620,6.62,6.6,4.1,179.13719999999998
9557,1.1,Premium,H,SI2,62.2,58.0,4620,6.69,6.6,4.13,182.35602
9558,1.1,Ideal,H,SI2,62.6,56.0,4620,6.65,6.57,4.14,180.87867000000003
9559,0.92,Very Good,F,SI1,62.2,55.0,4621,6.19,6.26,3.87,149.960178
9560,1.01,Very Good,H,SI1,62.6,61.0,4622,6.36,6.39,3.99,162.15519600000002
9561,1.06,Ideal,H,SI2,60.6,55.0,4622,6.62,6.65,4.02,176.97245999999998
9562,1.1,Premium,E,SI2,60.9,60.0,4622,6.66,6.61,4.04,177.85130400000003
9563,1.0,Ideal,E,SI2,62.0,57.0,4623,6.37,6.41,3.96,161.693532
9564,0.91,Ideal,E,SI1,61.9,55.0,4623,6.18,6.22,3.84,147.60806399999998
9565,0.98,Premium,H,VS2,59.9,60.0,4623,6.45,6.38,3.84,158.01984000000002
9566,1.12,Very Good,H,SI2,61.8,58.0,4624,6.62,6.68,4.11,181.75077600000003
9567,1.1,Ideal,J,SI2,60.1,57.0,4624,6.77,6.74,4.06,185.25698799999998
9568,1.1,Ideal,I,SI2,62.6,55.0,4624,6.57,6.6,4.13,179.08506
9569,1.0,Good,I,VS1,59.6,61.0,4624,6.48,6.53,3.88,164.17987200000002
9570,0.9,Premium,E,VS2,63.0,58.0,4625,6.16,6.13,3.87,146.134296
9571,1.01,Very Good,I,VS2,61.9,61.0,4626,6.36,6.41,3.95,161.03202000000002
9572,1.0,Premium,D,SI2,62.2,61.0,4626,6.36,6.3,3.94,157.86792
9573,1.0,Very Good,G,SI1,63.3,60.0,4626,6.33,6.24,3.98,157.206816
9574,1.0,Premium,D,SI2,58.3,61.0,4626,6.59,6.54,3.83,165.067638
9575,1.0,Premium,D,SI2,59.4,60.0,4626,6.56,6.48,3.87,164.50905600000002
9576,1.0,Premium,D,SI2,61.6,58.0,4626,6.45,6.37,3.95,162.291675
9577,1.0,Premium,D,SI2,59.5,62.0,4626,6.52,6.49,3.87,163.758276
9578,1.35,Fair,G,SI2,66.0,58.0,4627,6.89,6.81,4.52,212.08246799999995
9579,1.08,Premium,G,SI2,62.2,56.0,4627,6.62,6.54,4.09,177.07573200000002
9580,1.08,Premium,G,SI2,62.3,56.0,4627,6.6,6.52,4.09,176.00087999999997
9581,1.08,Premium,G,SI2,62.9,59.0,4627,6.57,6.53,4.12,176.75665200000003
9582,1.08,Ideal,G,SI2,61.9,57.0,4627,6.57,6.55,4.06,174.71601
9583,1.08,Ideal,G,SI2,62.2,56.0,4627,6.59,6.56,4.09,176.812336
9584,0.9,Very Good,F,VS2,63.1,59.0,4627,6.13,6.05,3.84,142.41216
9585,1.0,Very Good,D,SI2,63.2,57.0,4628,6.24,6.32,3.97,156.56409600000003
9586,0.82,Ideal,D,VS2,60.8,57.0,4628,6.02,6.05,3.67,133.66507
9587,0.82,Ideal,D,VS2,61.9,56.0,4628,5.98,6.03,3.72,134.14096800000002
9588,0.95,Premium,E,SI1,62.8,59.0,4628,6.25,6.21,3.91,151.756875
9589,1.04,Ideal,H,SI1,60.3,57.0,4629,6.55,6.58,3.96,170.67203999999998
9590,0.94,Premium,H,VS2,60.1,59.0,4629,6.32,6.35,3.81,152.90292
9591,1.09,Very Good,F,SI2,58.6,63.0,4629,6.73,6.78,3.96,180.69242400000002
9592,1.0,Very Good,E,SI2,63.0,54.0,4630,6.33,6.37,4.0,161.2884
9593,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05,177.48719999999997
9594,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05,177.48719999999997
9595,0.81,Ideal,F,VVS2,62.3,54.0,4630,5.94,6.01,3.72,132.801768
9596,1.04,Ideal,F,SI2,62.6,57.0,4630,6.48,6.45,4.05,169.27380000000002
9597,1.0,Fair,G,VS1,63.1,63.0,4630,6.38,6.29,4.0,160.5208
9598,1.04,Ideal,F,SI2,61.8,56.0,4630,6.53,6.49,4.02,170.36639399999999
9599,1.21,Ideal,G,SI2,62.9,57.0,4631,6.78,6.73,4.25,193.92495000000002
9600,1.17,Premium,H,SI1,62.6,59.0,4631,6.78,6.71,4.22,191.983836
9601,0.56,Ideal,D,IF,60.8,58.0,4632,5.35,5.31,3.24,92.04354
9602,1.01,Very Good,F,SI1,63.5,58.0,4632,6.29,6.24,3.98,156.21340800000002
9603,1.01,Premium,F,SI1,63.0,58.0,4632,6.33,6.29,3.98,158.466486
9604,1.01,Good,F,SI1,57.4,57.0,4632,6.52,6.48,3.73,157.59100800000002
9605,1.02,Good,D,SI2,63.4,59.0,4633,6.37,6.41,4.05,165.36838500000002
9606,1.02,Very Good,G,SI1,63.0,55.0,4633,6.4,6.45,4.05,167.184
9607,1.02,Premium,G,SI1,60.8,58.0,4633,6.46,6.5,3.94,165.44060000000002
9608,1.02,Premium,G,SI1,62.3,59.0,4633,6.4,6.44,4.0,164.86400000000003
9609,1.02,Very Good,D,SI2,61.5,56.0,4633,6.47,6.51,3.99,168.057603
9610,1.02,Ideal,G,SI1,59.2,57.0,4633,6.52,6.56,3.87,165.524544
9611,1.02,Premium,G,SI1,61.0,59.0,4633,6.44,6.48,3.94,164.42092800000003
9612,1.02,Very Good,G,SI1,62.0,57.0,4633,6.41,6.5,4.0,166.66
9613,1.02,Very Good,D,SI2,60.3,58.0,4633,6.48,6.52,3.92,165.618432
9614,1.0,Good,J,VVS1,63.5,59.0,4633,6.29,6.34,4.01,159.913186
9615,1.08,Ideal,J,SI1,62.1,55.0,4633,6.54,6.57,4.07,174.87894600000004
9616,1.06,Very Good,F,SI2,62.6,60.0,4634,6.54,6.44,4.06,170.997456
9617,1.01,Fair,F,SI1,65.5,57.0,4634,6.12,6.22,4.04,153.78825600000002
9618,1.33,Premium,G,SI2,61.3,59.0,4634,7.06,6.93,4.29,209.89168199999997
9619,0.93,Ideal,H,SI1,62.4,55.0,4635,6.2,6.24,3.88,150.10944
9620,1.2,Very Good,J,SI2,61.4,55.0,4636,6.85,6.92,4.23,200.51046
9621,1.28,Premium,J,SI2,62.3,58.0,4636,6.94,6.89,4.31,206.08954599999998
9622,1.2,Good,J,VS2,64.3,56.0,4637,6.65,6.57,4.25,185.68462500000004
9623,0.9,Very Good,F,VS2,63.4,57.0,4637,6.19,6.08,3.89,146.40092800000002
9624,0.9,Premium,G,VS2,61.7,57.0,4637,6.21,6.11,3.8,144.18377999999998
9625,1.2,Very Good,H,SI1,63.3,56.0,4637,6.75,6.72,4.26,193.2336
9626,0.9,Very Good,H,VVS2,59.9,61.0,4637,6.29,6.19,3.74,145.61727400000004
9627,1.0,Good,H,VS2,63.6,61.0,4637,6.21,6.25,3.96,153.6975
9628,0.92,Premium,H,VVS2,62.5,58.0,4637,6.25,6.16,3.88,149.38
9629,0.91,Premium,D,VS2,62.7,59.0,4637,6.16,6.13,3.85,145.37908000000002
9630,1.15,Premium,I,SI1,62.2,56.0,4637,6.77,6.67,4.18,188.75166199999998
9631,1.21,Very Good,G,SI1,63.4,60.0,4637,6.68,6.63,4.22,186.89704799999998
9632,1.21,Fair,G,SI1,64.5,56.0,4637,6.69,6.62,4.29,189.99466200000003
9633,0.92,Premium,E,SI1,61.7,57.0,4637,6.32,6.2,3.86,151.25024000000002
9634,1.01,Ideal,I,SI1,61.9,59.0,4638,6.38,6.42,3.96,162.200016
9635,1.01,Premium,H,SI2,60.3,60.0,4638,6.49,6.47,3.91,164.182073
9636,0.92,Ideal,H,VS2,60.8,58.0,4639,6.27,6.32,3.83,151.76911199999998
9637,0.97,Premium,D,SI1,62.0,60.0,4639,6.29,6.25,3.89,152.925625
9638,1.09,Premium,H,SI2,62.5,58.0,4639,6.61,6.55,4.11,177.94450500000002
9639,1.09,Very Good,I,SI1,63.2,59.0,4639,6.54,6.5,4.12,175.1412
9640,1.17,Good,D,SI2,57.8,62.0,4639,6.97,6.91,4.01,193.132427
9641,1.18,Premium,I,SI2,61.7,58.0,4639,6.79,6.75,4.18,191.57985
9642,1.1,Very Good,I,SI1,61.2,61.0,4640,6.61,6.66,4.01,176.530626
9643,1.1,Premium,D,SI2,62.4,58.0,4640,6.57,6.6,4.11,178.21782000000002
9644,1.09,Very Good,I,SI1,61.4,58.0,4640,6.61,6.69,4.08,180.42127200000004
9645,1.0,Very Good,I,VS1,63.3,55.0,4641,6.39,6.34,4.03,163.265778
9646,1.01,Ideal,I,SI1,60.3,58.0,4641,6.5,6.56,3.94,168.0016
9647,1.01,Good,G,SI1,62.8,58.0,4641,6.36,6.29,3.97,158.81746800000002
9648,1.12,Premium,H,SI2,59.7,60.0,4641,6.77,6.72,4.03,183.342432
9649,1.12,Premium,H,SI2,62.0,57.0,4641,6.68,6.61,4.12,181.917776
9650,1.12,Premium,H,SI1,61.2,59.0,4641,6.69,6.65,4.08,181.51308
9651,1.12,Premium,I,SI1,62.0,56.0,4641,6.73,6.65,4.15,185.73117500000004
9652,1.01,Premium,H,SI1,62.5,59.0,4642,6.44,6.33,3.99,162.65314800000002
9653,0.91,Ideal,F,SI2,62.0,57.0,4642,6.15,6.23,3.84,147.12768
9654,0.91,Ideal,F,SI2,61.7,56.0,4642,6.21,6.24,3.84,148.801536
9655,0.91,Ideal,F,SI2,62.0,56.0,4642,6.2,6.22,3.85,148.47140000000002
9656,1.01,Premium,H,SI1,62.8,58.0,4642,6.38,6.36,4.0,162.3072
9657,1.01,Very Good,H,SI1,63.4,58.0,4642,6.38,6.34,4.03,163.010276
9658,1.01,Premium,H,SI1,61.2,58.0,4642,6.47,6.43,3.95,164.328295
9659,1.01,Premium,H,SI1,63.0,60.0,4642,6.36,6.33,4.0,161.0352
9660,1.01,Good,H,SI1,60.3,64.0,4642,6.53,6.5,3.93,166.80885
9661,1.01,Very Good,H,SI1,63.3,58.0,4642,6.4,6.37,4.04,164.70272
9662,1.01,Ideal,H,SI1,62.4,53.0,4642,6.47,6.42,4.02,166.98034799999996
9663,1.01,Premium,H,SI1,61.8,60.0,4642,6.48,6.43,3.99,166.24893600000001
9664,0.9,Very Good,E,VS2,63.0,57.0,4643,6.07,6.15,3.85,143.72242500000002
9665,1.0,Very Good,F,SI1,62.5,56.0,4643,6.38,6.42,4.0,163.8384
9666,1.06,Ideal,J,VS2,62.4,54.0,4643,6.51,6.57,4.08,174.504456
9667,1.35,Ideal,G,I1,62.5,57.0,4643,7.04,7.01,4.39,216.64825599999998
9668,0.7,Very Good,E,VVS1,63.2,57.0,4644,5.62,5.67,3.57,113.759478
9669,1.07,Premium,F,SI2,61.8,59.0,4644,6.57,6.53,4.05,173.75350500000002
9670,1.02,Ideal,E,SI2,62.0,59.0,4645,6.43,6.4,3.98,163.78496
9671,1.11,Ideal,I,SI1,62.3,56.0,4645,6.59,6.64,4.12,180.28131199999999
9672,1.0,Good,E,SI1,63.9,55.0,4646,6.28,6.34,4.03,160.455256
9673,1.06,Ideal,I,SI1,62.6,56.0,4646,6.46,6.54,4.07,171.950988
9674,1.01,Fair,G,SI1,60.4,62.0,4646,6.31,6.34,3.82,152.82062799999997
9675,1.13,Premium,G,SI2,61.5,59.0,4647,6.73,6.69,4.13,185.94788100000002
9676,1.0,Premium,E,SI2,60.4,60.0,4648,6.49,6.46,3.91,163.92831400000003
9677,1.52,Fair,H,I1,69.7,55.0,4648,6.92,6.89,4.81,229.33502799999997
9678,1.52,Fair,H,I1,65.4,62.0,4648,7.1,7.02,4.62,230.27003999999997
9679,1.04,Ideal,H,SI1,62.5,57.0,4648,6.5,6.46,4.05,170.0595
9680,1.0,Very Good,I,SI1,58.5,61.0,4649,6.51,6.55,3.82,162.88670999999997
9681,1.0,Ideal,H,SI2,62.0,56.0,4649,6.38,6.43,3.97,162.862898
9682,1.0,Ideal,I,SI1,62.5,56.0,4649,6.38,6.41,4.0,163.5832
9683,1.0,Ideal,I,SI1,61.5,57.0,4649,6.39,6.43,3.94,161.885538
9684,1.23,Premium,J,SI1,61.9,54.0,4649,6.89,6.86,4.26,201.35060399999998
9685,1.1,Premium,G,SI2,61.4,59.0,4650,6.71,6.59,4.08,180.41311199999998
9686,1.14,Very Good,F,SI2,62.9,59.0,4652,6.62,6.64,4.17,183.299856
9687,1.06,Premium,E,SI2,60.5,60.0,4652,6.61,6.67,4.02,177.236574
9688,1.22,Very Good,J,SI2,62.6,58.0,4652,6.78,6.84,4.26,197.55835199999999
9689,1.17,Very Good,H,SI1,63.1,56.0,4652,6.76,6.71,4.25,192.7783
9690,1.0,Very Good,H,VS2,63.3,62.0,4652,6.37,6.29,4.01,160.669873
9691,0.36,Premium,E,SI1,62.2,59.0,589,4.53,4.57,2.83,58.586943000000005
9692,0.32,Very Good,D,SI1,62.3,55.0,589,4.38,4.42,2.74,53.04530400000001
9693,0.32,Ideal,D,SI1,62.0,57.0,589,4.37,4.4,2.72,52.300160000000005
9694,0.32,Ideal,I,VVS1,61.9,55.0,589,4.39,4.4,2.72,52.53952
9695,0.32,Good,D,SI1,63.3,57.0,589,4.36,4.39,2.77,53.018907999999996
9696,0.32,Very Good,D,SI1,62.7,57.0,589,4.34,4.37,2.73,51.776634
9697,0.32,Premium,D,SI1,61.4,58.0,589,4.38,4.42,2.7,52.270920000000004
9698,0.32,Premium,D,SI1,60.9,60.0,589,4.39,4.41,2.68,51.884532
9699,0.32,Ideal,I,VVS1,62.4,55.0,589,4.34,4.38,2.72,51.705024
9700,0.4,Good,J,VS1,63.5,56.0,589,4.69,4.7,2.98,65.68814
9701,0.32,Very Good,D,SI1,63.0,58.0,589,4.36,4.4,2.76,52.94784000000001
9702,0.32,Ideal,D,SI1,62.7,54.0,589,4.35,4.39,2.74,52.32440999999999
9703,0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,52.444696
9704,0.32,Ideal,D,SI1,60.8,57.0,589,4.41,4.44,2.69,52.671276
9705,0.32,Ideal,D,SI1,59.3,55.0,589,4.51,4.53,2.68,54.753204000000004
9706,0.32,Ideal,D,SI1,59.6,57.0,589,4.42,4.47,2.65,52.35710999999999
9707,0.32,Ideal,D,SI1,60.9,56.0,589,4.4,4.43,2.69,52.43348
9708,0.32,Very Good,I,VVS1,60.1,61.0,589,4.4,4.45,2.66,52.082800000000006
9709,0.34,Good,F,VS2,64.3,53.0,589,4.44,4.48,2.87,57.087744000000015
9710,0.31,Ideal,E,VS2,62.0,56.0,589,4.36,4.38,2.71,51.752328000000006
9711,0.34,Very Good,H,VS1,62.3,57.0,590,4.45,4.48,2.78,55.42208000000001
9712,0.26,Very Good,F,SI1,59.6,55.0,590,4.18,4.24,2.51,44.48523199999999
9713,0.35,Very Good,F,SI1,61.0,55.0,590,4.6,4.63,2.81,59.847379999999994
9714,0.38,Very Good,E,SI2,62.5,61.0,590,4.59,4.63,2.88,61.204896
9715,0.35,Ideal,I,VVS2,62.4,54.0,590,4.51,4.53,2.82,57.613445999999996
9716,0.3,Ideal,H,VVS2,62.2,57.0,590,4.26,4.29,2.66,48.612564
9717,0.3,Ideal,H,VVS2,62.4,56.0,590,4.28,4.31,2.68,49.437424
9718,0.3,Ideal,H,VVS2,62.1,54.0,590,4.32,4.35,2.69,50.55047999999999
9719,0.3,Ideal,H,VVS2,61.5,55.0,590,4.34,4.37,2.68,50.82834400000001
9720,0.3,Ideal,H,VVS2,62.7,53.0,590,4.29,4.32,2.7,50.03856000000001
9721,1.01,Very Good,G,SI1,62.4,58.0,4653,6.39,6.44,4.0,164.6064
9722,1.01,Ideal,G,SI1,61.4,55.0,4653,6.46,6.5,3.98,167.1202
9723,1.01,Ideal,G,SI1,61.4,57.0,4653,6.44,6.5,3.97,166.1842
9724,1.15,Very Good,H,SI2,61.9,57.0,4654,6.68,6.72,4.15,186.29183999999998
9725,1.06,Premium,E,SI2,61.7,62.0,4654,6.54,6.5,4.02,170.89019999999996
9726,1.12,Premium,F,SI2,61.6,58.0,4654,6.69,6.63,4.1,181.85426999999999
9727,1.14,Premium,H,SI1,63.0,57.0,4654,6.7,6.65,4.2,187.13100000000003
9728,1.12,Premium,F,SI2,60.5,59.0,4654,6.79,6.73,4.09,186.89950299999998
9729,0.9,Good,F,VS2,60.0,58.0,4655,6.21,6.26,3.74,145.391004
9730,0.75,Very Good,D,VVS2,59.4,59.0,4656,5.88,5.94,3.51,122.594472
9731,1.26,Ideal,J,SI2,62.5,53.0,4656,6.86,6.9,4.3,203.5362
9732,1.08,Premium,E,SI2,60.8,59.0,4656,6.57,6.62,4.01,174.408534
9733,1.08,Very Good,E,SI2,60.2,58.0,4656,6.61,6.68,4.0,176.6192
9734,1.08,Good,E,SI2,63.7,57.0,4656,6.49,6.54,4.15,176.14509
9735,1.0,Fair,F,VS2,68.4,58.0,4656,5.97,6.1,4.13,150.40220999999997
9736,1.06,Premium,F,SI2,62.0,59.0,4656,6.57,6.52,4.06,173.91578399999997
9737,1.16,Very Good,I,SI1,61.5,60.4,4657,6.71,6.76,4.14,187.78874399999998
9738,1.2,Premium,J,SI1,61.5,59.0,4657,6.84,6.81,4.2,195.63768
9739,0.9,Premium,H,VVS2,62.4,58.0,4657,6.15,6.12,3.83,144.15354000000002
9740,1.32,Very Good,J,SI1,63.5,57.0,4657,6.98,6.95,4.42,214.41862
9741,1.0,Fair,F,SI1,65.8,58.0,4657,6.23,6.15,4.07,155.94001500000002
9742,0.9,Ideal,F,SI1,61.7,57.0,4657,6.25,6.2,3.84,148.79999999999998
9743,1.2,Ideal,J,SI2,61.7,56.0,4659,6.79,6.87,4.21,196.385133
9744,1.2,Good,J,SI2,63.3,54.4,4659,6.72,6.78,4.27,194.54803199999998
9745,1.01,Very Good,H,SI1,63.5,57.0,4659,6.31,6.35,4.02,161.07536999999996
9746,1.09,Premium,I,VS2,61.3,58.0,4659,6.63,6.58,4.05,176.68286999999998
9747,1.04,Premium,H,SI1,58.5,62.0,4659,6.67,6.64,3.89,172.28343199999998
9748,1.04,Ideal,I,SI1,61.3,57.0,4659,6.56,6.53,4.01,171.77556799999996
9749,1.04,Ideal,I,SI1,61.3,57.0,4659,6.57,6.54,4.02,172.730556
9750,1.19,Premium,I,SI2,62.6,58.0,4660,6.7,6.75,4.21,190.39725
9751,1.27,Premium,J,SI2,60.4,58.0,4660,7.04,7.0,4.24,208.9472
9752,0.94,Very Good,E,SI1,62.4,56.0,4661,6.24,6.27,3.9,152.58671999999999
9753,0.94,Very Good,E,SI1,61.8,56.0,4661,6.29,6.33,3.9,155.28123
9754,0.94,Premium,E,SI1,60.0,58.0,4661,6.37,6.44,3.84,157.52755200000001
9755,0.94,Premium,E,SI1,62.0,58.0,4661,6.24,6.27,3.88,151.804224
9756,1.13,Very Good,H,SI2,62.7,55.0,4661,6.61,6.69,4.17,184.40115300000002
9757,0.9,Premium,G,VS1,62.7,58.0,4661,6.06,6.15,3.83,142.74027
